,Estimate,Pr...t..,Estimate.1,Pr...t...1,Estimate.2,Pr...t...2,Estimate.3,Pr...t...3,Estimate.4,Pr...t...4
currentlegalstatusCredit Union/ Cooperative,0.001733069,0.906979569,0.019050375,0.362365754,0.018848159,0.372761936,0.019063974,0.363304017,0.018852723,0.373468858
,0.014829868,,0.020909976,,0.021141989,,0.020965861,,0.021178415,
ageYoung,0.006324571,0.004294862,-0.001754602,0.592724712,-0.001645154,0.616520859,-0.001768084,0.590524909,-0.0016579,0.61424152
,0.002212325,,0.003279787,,0.003284643,,0.003285431,,0.003288805,
ageMature,0.006282663,0.02682252,0.002038421,0.648777546,0.002373377,0.59592741,0.002019914,0.652293555,0.002358032,0.598720523
,0.002835573,,0.004474862,,0.004475135,,0.00448229,,0.004480209,
operating_expense_._assets,-0.126817877,3.19E-34,0.00207519,0.899464483,-0.000568449,0.972396466,0.002177862,0.894703233,-0.00050639,0.975439981
,0.01021042,,0.016423718,,0.01642586,,0.016452651,,0.016446571,
donations_assets_ratio,-0.57096158,0.001042233,0.262798235,0.309638913,0.24852094,0.33687782,0.266208477,0.304177579,0.252197956,0.330373349
,0.173888275,,0.258601744,,0.258721304,,0.259015792,,0.25903932,
debt_to_equity_ratio,3.39E-05,0.903462183,0.000154374,0.713402296,0.000245768,0.559449926,0.000158707,0.706178423,0.000249018,0.554768616
,2.80E-04,,0.000420247,,0.000421015,,0.000420923,,0.000421546,
capital_.asset_ratio,0.018196659,3.41E-05,0.013510637,0.037153354,0.014815109,0.022259698,0.013503261,0.037567338,0.014795866,0.022596264
,0.004381185,,0.006478645,,0.006476226,,0.006489229,,0.006484043,
asset_structure,-0.116531286,1.73E-09,0.020758248,0.502120951,0.021635251,0.484105608,0.020823377,0.501601859,0.021700095,0.483404006
,0.019267929,,0.030923701,,0.03091459,,0.030983091,,0.030957524,
kkm,-0.000536378,0.595748222,0.000370956,0.821514952,0.000355971,0.828600912,0.000368322,0.823071965,0.000363009,0.825482019
,0.001010877,,0.001644124,,0.001644029,,0.001647061,,0.001646096,
education,-0.040263093,0.003785214,0.027622379,0.206364962,0.027880536,0.202287814,0.02758374,0.207752378,0.02797109,0.201350924
,0.013889624,,0.021852841,,0.021859164,,0.021889063,,0.021884632,
year2002,0.0024011,0.360573554,-0.00227415,0.469667585,-0.002354459,0.453508993,-0.002282034,0.468329341,-0.002348502,0.454829232
,0.002625662,,0.003144774,,0.003140458,,0.003146189,,0.003141692,
year2003,0.003764896,0.225646124,-0.002518147,0.482800924,-0.002579775,0.474868078,-0.002513185,0.48397544,-0.002559693,0.478758395
,0.003106325,,0.00358746,,0.00360954,,0.003590018,,0.003613199,
year2004,0.004788915,0.147444263,-0.0056379,0.128808874,-0.005808153,0.114090131,-0.005635783,0.129365954,-0.005794812,0.115440385
,0.003304622,,0.003710565,,0.003674335,,0.003714577,,0.003679572,
year2005,0.003637313,0.29170018,-0.003173929,0.431271763,-0.003263642,0.418726514,-0.003157686,0.434150713,-0.003245871,0.421850374
,0.003448781,,0.004032076,,0.0040352,,0.00403662,,0.0040403,
year2006,0.000745194,0.83646957,-0.004365233,0.295286808,-0.004181872,0.319766535,-0.00434889,0.297526599,-0.004175169,0.321053444
,0.003609786,,0.004169846,,0.004202146,,0.004173548,,0.004206585,
year2007,-0.000367182,0.918983601,-0.006886544,0.113105473,-0.006505298,0.133719662,-0.006872958,0.114140514,-0.006481385,0.135552521
,0.003609507,,0.004344672,,0.00433635,,0.004348554,,0.004340783,
year2008,0.000347569,0.926480965,-0.011228692,0.01146022,-0.011232186,0.011488486,-0.011209572,0.011649173,-0.011224162,0.011600893
,0.003766282,,0.00443719,,0.004440092,,0.00443974,,0.004442943,
year2009,-0.00252648,0.510886095,-0.010946081,0.017184242,-0.010717388,0.019909349,-0.010920657,0.017521449,-0.010699424,0.02021716
,0.003842138,,0.004590223,,0.004600043,,0.004593389,,0.004603735,
year2010,-0.001795074,0.644165333,-0.00941979,0.052083934,-0.009692358,0.045769821,-0.009374694,0.053408118,-0.009655282,0.046794489
,0.003885862,,0.004846689,,0.004849317,,0.004850562,,0.004853518,
year2011,0.000191897,0.961879054,-0.011847796,0.021332502,-0.012137691,0.018395756,-0.011796279,0.022008574,-0.012101073,0.018852555
,0.004014467,,0.005142747,,0.005144376,,0.005146862,,0.005148802,
year2012,0.000273654,0.946972423,-0.009604783,0.06511666,-0.009908407,0.057053762,-0.009555284,0.066733388,-0.009871039,0.058192883
,0.004114033,,0.00520463,,0.005204122,,0.005208872,,0.005208209,
