,Estimate,Pr...t..,Estimate.1,Pr...t...1,Estimate.2,Pr...t...2,Estimate.3,Pr...t...3,Estimate.4,Pr...t...4
(Intercept),0.4308,0,0.9271,0,0.9249,0,0.9275,0,0.9254,0
,0.0136,,0.0137,,0.0137,,0.0137,,0.0137,
Current Legal Status: Bank,0.0044,0.5056,-0.0413,0,-0.0408,0,-0.0414,0,-0.0411,0
,0.0065,,0.0089,,0.0089,,0.0089,,0.0089,
Current Legal Status: NBFI,-0.006,0.2273,-0.0351,0,-0.0343,0,-0.035,0,-0.0343,0
,0.005,,0.0063,,0.0063,,0.0063,,0.0063,
Current Legal Status: Credit Union/ Cooperative,0.003,0.5457,-0.0505,0,-0.0496,0,-0.051,0,-0.0502,0
,0.005,,0.0063,,0.0063,,0.0063,,0.0063,
Current Legal Status: Rural Bank ,-0.0005,0.9656,-0.0494,0.0001,-0.0487,0.0001,-0.0493,0.0001,-0.0487,0.0001
,0.0105,,0.0127,,0.0127,,0.0128,,0.0127,
Age: Young,0.0035,0.2245,-0.0018,0.4915,-0.0016,0.5418,-0.0018,0.4975,-0.0015,0.5495
,0.0029,,0.0026,,0.0026,,0.0026,,0.0026,
Age: Mature,0.0024,0.4935,-0.0008,0.8183,-0.0004,0.9108,-0.0008,0.824,-0.0004,0.9191
,0.0035,,0.0035,,0.0035,,0.0035,,0.0035,
Region: Africa,0.0076,0.4269,0.0196,0.0784,0.0198,0.075,0.0194,0.0831,0.0194,0.0806
,0.0095,,0.0111,,0.0111,,0.0112,,0.0111,
Operating Expense to Assets,-0.0646,0,0.0213,0.004,0.0202,0.0062,0.0211,0.0043,0.0199,0.007
,0.0075,,0.0074,,0.0074,,0.0074,,0.0074,
Donations to Assets Ratio,-0.0062,0.4492,-0.0019,0.7791,-0.0023,0.7365,-0.0019,0.7816,-0.0023,0.7428
,0.0082,,0.0069,,0.0069,,0.0069,,0.0069,
Debt to Equity Ratio,0,0.3989,0,0.8775,0,0.9357,0,0.8789,0,0.9374
,0,,0,,0,,0,,0,
Capital to Asset Ratio,0.0061,0.0002,0.0005,0.7719,0.0037,0.0174,0,0.981,0.0032,0.041
,0.0016,,0.0016,,0.0015,,0.0016,,0.0015,
Asset Structure ,-0.079,0,-0.0025,0.8771,-0.0035,0.8298,0.0004,0.9804,0.0002,0.9881
,0.0172,,0.0165,,0.0165,,0.0165,,0.0164,
Institutional Quality (KKM),0.0003,0.7403,-0.0007,0.5277,-0.0006,0.5441,-0.0006,0.5413,-0.0006,0.5641
,0.0009,,0.0011,,0.0011,,0.0011,,0.0011,
Education,-0.0115,0.3761,0.0377,0.0099,0.0385,0.0082,0.0374,0.0107,0.0381,0.009
,0.0129,,0.0146,,0.0146,,0.0146,,0.0146,
2000,0.0052,0.4722,-0.0063,0.189,-0.0062,0.194,-0.0063,0.1909,-0.0062,0.1973
,0.0072,,0.0048,,0.0048,,0.0048,,0.0048,
2001,0.0054,0.53,-0.0098,0.0736,-0.0096,0.0798,-0.0098,0.073,-0.0096,0.0795
,0.0086,,0.0055,,0.0055,,0.0055,,0.0055,
2002,0.0029,0.7266,-0.012,0.0336,-0.0118,0.0346,-0.012,0.0329,-0.0118,0.0343
