,Estimate,Pr...t..,Estimate.1,Pr...t...1,Estimate.2,Pr...t...2,Estimate.3,Pr...t...3,Estimate.4,Pr...t...4,,Estimate,Pr...t..,Estimate.1,Pr...t...1,Estimate.2,Pr...t...2,Estimate.3,Pr...t...3,Estimate.4,Pr...t...4
(Intercept),0.4384,0.0000,0.9113,0.0000,0.9110,0.0000,0.9112,0.0000,0.9109,0.0000,,,,,,,,,,,
,0.0078,,0.0154,,0.0155,,0.0155,,0.0155,,,,,,,,,,,,
Current Legal Status: Bank,-0.0017,0.6971,-0.0240,0.0234,-0.0241,0.0234,-0.0240,0.0235,-0.0241,0.0235,,,,,,,,,,,
,0.0043,,0.0106,,0.0106,,0.0106,,0.0106,,,,,,,,,,,,
Current Legal Status: NBFI,-0.0072,0.0139,-0.0321,0.0000,-0.0317,0.0000,-0.0321,0.0000,-0.0317,0.0000,,,,,,,,,,,
,0.0029,,0.0068,,0.0068,,0.0068,,0.0068,,,,,,,,,,,,
Current Legal Status: Credit Union/ Cooperative,-0.0040,0.2128,-0.0406,0.0000,-0.0405,0.0000,-0.0406,0.0000,-0.0405,0.0000,,0.0017,0.9070,0.0191,0.3624,0.0188,0.3728,0.0191,0.3633,0.0189,0.3735
,0.0032,,0.0072,,0.0072,,0.0072,,0.0072,,,0.0148,,0.0209,,0.0211,,0.0210,,0.0212,
Current Legal Status: Rural Bank ,0.0013,0.8064,-0.0408,0.0009,-0.0413,0.0008,-0.0408,0.0009,-0.0413,0.0008,,,,,,,,,,,
,0.0053,,0.0123,,0.0123,,0.0123,,0.0124,,,,,,,,,,,,
Age: Young,0.0063,0.0043,-0.0029,0.3701,-0.0028,0.3917,-0.0029,0.3686,-0.0028,0.3901,,0.0063,0.0043,-0.0018,0.5927,-0.0016,0.6165,-0.0018,0.5905,-0.0017,0.6142
,0.0022,,0.0033,,0.0033,,0.0033,,0.0033,,,0.0022,,0.0033,,0.0033,,0.0033,,0.0033,
Age: Mature,0.0060,0.0247,0.0001,0.9881,0.0004,0.9245,0.0000,0.9917,0.0004,0.9274,,0.0063,0.0268,0.0020,0.6488,0.0024,0.5959,0.0020,0.6523,0.0024,0.5987
,0.0027,,0.0043,,0.0043,,0.0043,,0.0043,,,0.0028,,0.0045,,0.0045,,0.0045,,0.0045,
Region: Africa,0.0018,0.7190,0.0147,0.2280,0.0149,0.2254,0.0147,0.2287,0.0149,0.2255,,,,,,,,,,,
,0.0051,,0.0122,,0.0122,,0.0122,,0.0123,,,,,,,,,,,,
Operating Expense to Assets,-0.1224,0.0000,0.0200,0.1849,0.0174,0.2488,0.0201,0.1827,0.0175,0.2470,,-0.1268,0.0000,0.0021,0.8995,-0.0006,0.9724,0.0022,0.8947,-0.0005,0.9754
,0.0084,,0.0151,,0.0151,,0.0151,,0.0151,,,0.0102,,0.0164,,0.0164,,0.0165,,0.0164,
Donations to Assets Ratio,-0.7129,0.0000,0.3940,0.1247,0.3767,0.1425,0.3976,0.1219,0.3805,0.1389,,-0.5710,0.0010,0.2628,0.3096,0.2485,0.3369,0.2662,0.3042,0.2522,0.3304
,0.1689,,0.2565,,0.2567,,0.2569,,0.2570,,,0.1739,,0.2586,,0.2587,,0.2590,,0.2590,
Debt to Equity Ratio,0.0001,0.5914,0.0002,0.6253,0.0003,0.4865,0.0002,0.6185,0.0003,0.4822,,0.0000,0.9035,0.0002,0.7134,0.0002,0.5594,0.0002,0.7062,0.0002,0.5548
,0.0003,,0.0004,,0.0004,,0.0004,,0.0004,,,0.0003,,0.0004,,0.0004,,0.0004,,0.0004,
Capital to Asset Ratio,0.0208,0.0000,0.0168,0.0074,0.0180,0.0040,0.0168,0.0075,0.0180,0.0041,,0.0182,0.0000,0.0135,0.0372,0.0148,0.0223,0.0135,0.0376,0.0148,0.0226
