"","Estimate","Std. Error","t value","Pr(>|t|)","Estimate","Std. Error","t value","Pr(>|t|)","Estimate","Std. Error","t value","Pr(>|t|)","Estimate","Std. Error","t value","Pr(>|t|)","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.430803816545965,0.0135759481779794,31.7328713175806,1.93336536740637e-191,0.92713282645317,0.0137180406692941,67.5849305891346,0,0.924914424735315,0.0136676846722832,67.671624485964,0,0.927508917010816,0.0137396152443075,67.5061783404084,0,0.925353883283835,0.0136926034257923,67.5805655439328,0
"currentlegalstatusBank",0.0043591747995943,0.00654689532531533,0.66583847503081,0.505564244027585,-0.0412833709284574,0.00891573297918472,-4.6303956191645,3.80081544717262e-06,-0.0407770288048543,0.00886696602871668,-4.59875775691406,4.42153699665327e-06,-0.0414445538408465,0.00894957725281745,-4.63089514399121,3.79171973050439e-06,-0.0410855891526197,0.00890869250542494,-4.61185399850772,4.15363558514716e-06
"currentlegalstatusNBFI",-0.0059834298151078,0.00495509206558713,-1.20753151221194,0.227320295424562,-0.0350556050893635,0.00629286464287422,-5.57069110473543,2.75592063954425e-08,-0.0343341628405388,0.00626438741463583,-5.48084921445343,4.57449828447701e-08,-0.0350353246043511,0.00631224311551555,-5.55037630255938,3.09256622223216e-08,-0.0343128742661245,0.00628846309433855,-5.45648018464417,5.24165052364952e-08
"currentlegalstatusCredit Union/ Cooperative",0.00301514889802987,0.00498918313692685,0.604337186124438,0.54566402936423,-0.050521818640785,0.00632168201133462,-7.99183169134427,1.86228054511056e-15,-0.0496144842870735,0.0062955809742703,-7.88084284672778,4.47396479254716e-15,-0.0510139247570879,0.00634399041130695,-8.04129915867549,1.25544129759762e-15,-0.050247047101817,0.00632276332987018,-7.9470074207014,2.65687224625122e-15
"currentlegalstatusRural Bank",-0.000453794574414419,0.0105081362211733,-0.0431850677287613,0.965556809329761,-0.0493506608465271,0.0127165587900294,-3.88081883325394,0.000106288287492223,-0.0487270882275554,0.012690675909431,-3.83959755771118,0.000125717373044269,-0.0492952051863028,0.0127561637150592,-3.86442243039792,0.000113649932667533,-0.0486507572940422,0.0127482379329276,-3.81627308417124,0.000138147931712695
"ageYoung",0.00348025805859475,0.00286449801865435,1.21496263426625,0.224473533640428,-0.00177819860637793,0.0025844705596438,-0.688032061244684,0.491484437731792,-0.00157545071331922,0.00258221053149574,-0.610117066018877,0.541829302510939,-0.00175391828880919,0.00258518905670246,-0.678448751847342,0.497538209516515,-0.00154629329155908,0.00258342529926348,-0.59854383712969,0.549521160172509
"ageMature",0.00237846533326273,0.00347327309578927,0.684790762968281,0.493527525613636,-0.000795324479086077,0.003461486203293,-0.229763873774642,0.818290525272758,-0.000386964359819885,0.00345277035868674,-0.11207358718379,0.91077236769999,-0.000770214078523503,0.00346302739232593,-0.222410622633335,0.824008999475699,-0.000351000882361089,0.00345537740908469,-0.101581054919864,0.919095834070995
"regionAfrica",0.00756725862837988,0.00952383652993607,0.794559902891432,0.426930807951143,0.0196290043070779,0.0111473703326343,1.76086410708123,0.0783606946167284,0.0197627890327884,0.0110959411468008,1.78108271946688,0.0749975274318853,0.019375645414037,0.0111753536933157,1.7337836408369,0.083056611225207,0.0194487927407225,0.0111278112289087,1.74776443818502,0.0806045354380612
"operating_expense_._assets",-0.0646128377724743,0.00754999550686433,-8.55799685095566,1.78422554406334e-17,0.0212937592199846,0.0073850784492971,2.8833490891368,0.00396200654892645,0.0201806729536991,0.00737416597932,2.73667191792177,0.00624205950679053,0.0211227388810564,0.00738849392683567,2.85886935689786,0.00428013213504315,0.0199278045658852,0.00737923482917616,2.70052451605067,0.00696092669413016
"donations_assets_ratio",-0.0061767410261968,0.00816123800928338,-0.75683873196331,0.449204411716403,-0.00193447326564222,0.00689743534444892,-0.280462689251461,0.779141395146882,-0.00231065173792652,0.00686593410228461,-0.336538583607679,0.736487702911099,-0.00191215768451576,0.00689633456844019,-0.277271594865249,0.781590188458453,-0.00225407045269547,0.00686715433558127,-0.328239375809029,0.742753004742203
