"","Estimate","Std..Error","t.value","Pr...t..","Estimate.1","Std..Error.1","t.value.1","Pr...t...1","Estimate.2","Std..Error.2","t.value.2","Pr...t...2","Estimate.3","Std..Error.3","t.value.3","Pr...t...3","Estimate.4","Std..Error.4","t.value.4","Pr...t...4"
"(Intercept)",0.438370765540108,0.00779650610196167,56.226566080646,0,0.911294500117974,0.0154410629177616,59.0176016360718,0,0.910989922511732,0.0154518300167089,58.9567657375618,0,0.911245521536528,0.0154526090983834,58.9703341186478,0,0.910891565242635,0.0154631454818728,58.90726219387,0
"currentlegalstatusBank",-0.00168277544454802,0.0043233158320877,-0.389232595976088,0.69713983067842,-0.0240482231785227,0.0106020971088692,-2.26825154793244,0.0234054636702203,-0.0240732996688818,0.0106141134468972,-2.26804619993194,0.0234179958317324,-0.0240358211233249,0.0106048369269919,-2.26649606107075,0.0235127872876054,-0.0240730905699865,0.0106194967351,-2.26687678055582,0.0234894753609522
"currentlegalstatusNBFI",-0.00718144441204325,0.00291682264855206,-2.46207784199982,0.0138857296147644,-0.0321329331584051,0.00681356688675085,-4.7160222674101,2.54780444001835e-06,-0.0316504992190505,0.00682661820029386,-4.63633651251919,3.74331175491837e-06,-0.0321439461308315,0.00681700399282844,-4.71525998292611,2.55727075729856e-06,-0.0316680602184966,0.00683118886414488,-4.63580510629914,3.75285362600328e-06
"currentlegalstatusCredit Union/ Cooperative",-0.0039682543994062,0.00318439902279071,-1.24615488542907,0.212833409519937,-0.040566996592744,0.00718955185072915,-5.64249308371422,1.88035198419081e-08,-0.0405137757945118,0.00720972441794873,-5.61932376966478,2.14683958341844e-08,-0.0405894415085758,0.00719463131118681,-5.64162911940518,1.8896850897665e-08,-0.0405455137414809,0.00721515019961439,-5.61949683925468,2.14471918516975e-08
"currentlegalstatusRural Bank",0.00130897587604887,0.00534082264839764,0.245088811634962,0.806409351261549,-0.04078401454038,0.0122854136929365,-3.31971031336363,0.000915058195969571,-0.0413293624550747,0.012345548667646,-3.34771370375679,0.000827825954654543,-0.0407654051844154,0.0122971610982416,-3.31502570867714,0.000930457606932497,-0.0413079288346531,0.0123557982746045,-3.34320194588767,0.000841337720769952
"ageYoung",0.00629303080452328,0.00220142831130205,2.8586126435347,0.00429297141736245,-0.00292816947291979,0.00326631852104185,-0.896473951960388,0.370092736044486,-0.00280534205442583,0.00327493097186433,-0.85661104876016,0.391748384370489,-0.00294222758861506,0.00327179446605161,-0.899270299263549,0.368602068714326,-0.00281843433133278,0.00327904358810873,-0.859529388860118,0.390137355218537
"ageMature",0.00595829676584204,0.00265131339483597,2.24730006548722,0.0247145226185027,6.4458783086603e-05,0.00432339031249568,0.0149093138549857,0.98810581188036,0.000410319569853308,0.00432960900888178,0.0947705829814139,0.924505240763546,4.52681250998275e-05,0.00433024739087609,0.0104539350789076,0.991660017729523,0.000394842265371649,0.00433441993301282,0.0910946035395323,0.927425288044654
"regionAfrica",0.00184946995532668,0.00514051964275391,0.359782684214367,0.719042413721547,0.0147495262771829,0.0122304474214169,1.20596784148345,0.227952915131797,0.014850922730931,0.0122462385268229,1.21269259114977,0.225370895526902,0.0147290545895457,0.0122342724793173,1.20391748789688,0.228744343409485,0.0148535367751588,0.0122528203928484,1.21225450948651,0.225538461333634
"operating_expense_._assets",-0.122387477033452,0.00843410971711719,-14.5110131523502,9.78808372413331e-46,0.019999279088612,0.0150786506471017,1.32633082075259,0.184860748284323,0.01740951613763,0.0150909532144643,1.15363926255787,0.248766978120774,0.0201279149768748,0.0151016590190118,1.33282806554799,0.182719165071934,0.0174955774914834,0.0151082058627465,1.15801820880821,0.246975853751307
"donations_assets_ratio",-0.712853222455059,0.168867441990007,-4.2213775139511,2.52171271829323e-05,0.393976020131358,0.256497148951177,1.53598596219231,0.124678240956176,0.37665128079667,0.256722816700623,1.46715155916937,0.142470430153923,0.397566472601522,0.256890505725244,1.54761061129576,0.121852524687181,0.380490723148342,0.257030319064679,1.48033401091719,0.138919970346948
"debt_to_equity_ratio",0.000143696564209351,0.00026762013280856,0.536942279720576,0.591358994973842,0.000202944407050753,0.00041550576795488,0.488427412330869,0.625293310377145,0.000289682508929828,0.000416166579279361,0.696073455565426,0.486452583675513,0.000207271884149918,0.000416141429629834,0.498080386599072,0.618474614671752,0.000292890340078806,0.000416677096971712,0.702919220200601,0.482176648802741
"capital_.asset_ratio",0.0208160066519474,0.00402518106705831,5.17144603066521,2.52182365152054e-07,0.0167669172996313,0.00625542988436238,2.68037810503576,0.00740594734929859,0.0180033583283449,0.00625659054131173,2.8775030441053,0.00404501679987233,0.0167652187377333,0.00626486372692671,2.67607077639623,0.00750150471281378,0.0179876712814065,0.00626385608083794,2.8716610102894,0.00412027309692191
"asset_structure",-0.108310038222206,0.0170753139303847,-6.34307741947126,2.69916919360519e-10,-0.00306302774631311,0.0293757450141101,-0.104270640449863,0.91696359322614,-0.002541838045625,0.0293822600002769,-0.086509276195944,0.931069050846828,-0.00300753547599234,0.0294258720375128,-0.102207182582669,0.918601063272968,-0.00248779563006881,0.029419735322804,-0.0845621350012774,0.932616802262472
"kkm",-1.22167539064154e-05,0.000587356817976661,-0.0207995438760717,0.983407350979554,-0.000597897639778116,0.00121333518308159,-0.492772028797181,0.62222032956354,-0.00058179968238231,0.00121546229655629,-0.478665347358527,0.632221847412863,-0.000602872610051393,0.00121478475260588,-0.496279368635594,0.619744354676371,-0.000578884447160336,0.00121663408343135,-0.475808178517959,0.634255860683832
"education",-0.0181755160669292,0.00886245272208838,-2.05084491132228,0.0403942057349383,0.0307599538026587,0.0172323260488001,1.78501461239474,0.0743896152151809,0.0308782284153661,0.0172554708280627,1.78947469605689,0.073668849280635,0.0307229356483991,0.0172525381588934,1.78077772472927,0.075079642220122,0.0309436280782142,0.0172715758386284,1.79159263563015,0.0733285889070068
"year2002",0.00236900100734141,0.0026198838735934,0.904238936396871,0.365962642602518,-0.00199971760917944,0.00318593561478461,-0.627670440011272,0.530281652713954,-0.00207498666248951,0.00318073185706955,-0.65236139219897,0.514232720620315,-0.00200709854301695,0.00318718445702612,-0.629740314713295,0.528926539223016,-0.00206871308831825,0.0031818582867985,-0.650158775738481,0.515654067291332
"year2003",0.0039748292218325,0.0031259329001009,1.27156575296424,0.203654963332665,-0.00212506495292461,0.00363612098622584,-0.584431860483925,0.558986645526977,-0.00218337339680092,0.00365856241245519,-0.596784515515672,0.550709512773038,-0.00211976977479317,0.0036386081466587,-0.582577097987243,0.560234664851099,-0.00216322725914341,0.00366212522656774,-0.590702700019587,0.554777200673013
"year2004",0.00483536036312269,0.00333342706959254,1.45056731771058,0.147035622376442,-0.00492730615966006,0.00372299912062695,-1.32347765874044,0.185807041330693,-0.00508712647053213,0.00366418952755595,-1.3883360651176,0.165168079593425,-0.00492436194900587,0.00372713751147967,-1.32121820937347,0.186558959859075,-0.00507300363823421,0.00366941025328737,-1.38251198096189,0.166947677272003
"year2005",0.00357151507143509,0.00347147918733987,1.02881650117911,0.30367320386086,-0.00155789330927699,0.00394958421488762,-0.394444889516381,0.693288878257998,-0.0016523820226233,0.0039535259662882,-0.417951478430443,0.676021289616145,-0.00153949453898397,0.00395406504999355,-0.389344767857696,0.69705687303502,-0.00163186574653749,0.00395844698846341,-0.412248983324378,0.680195042016494
"year2006",0.000587819339972201,0.00362941018683096,0.161960018215924,0.871351448477738,-0.00298415523462028,0.00410812117067442,-0.726403898678182,0.467664512665666,-0.00279537560756768,0.00414201230988925,-0.674883462053841,0.499817086338,-0.00296671583818131,0.00411175505615102,-0.721520566684347,0.470662029134282,-0.00278740818007704,0.00414646112011926,-0.672237867262787,0.501499246855575
"year2007",-0.000506406157781922,0.00361620816232949,-0.140037889150636,0.888642215336227,-0.00538920663538996,0.0042503012913957,-1.26795873184328,0.204939975206551,-0.00500959109384802,0.00424365526084761,-1.18048964534585,0.237926593959851,-0.00537431775365868,0.004254026360549,-1.26334848403833,0.206590964529392,-0.00498412643365782,0.00424796048963689,-1.17329867964094,0.240796546237859
"year2008",-6.54088353341922e-05,0.00374650115302487,-0.0174586454568103,0.986072225829197,-0.00952038007614,0.00433152950850448,-2.19792571133309,0.0280529174901778,-0.00952441413130271,0.00433387267886318,-2.19766819125869,0.0280713021063836,-0.00949983559469999,0.00433392025939862,-2.19197286200605,0.0284805617489826,-0.00951432402042248,0.00433666590177114,-2.19392598736664,0.0283396367380551
